,freq,pow
0,212.0,-111.6005
1,212.02666666666667,-110.6964
2,212.05333333333334,-110.6013
3,212.08,-110.8003
4,212.10666666666665,-110.7784
5,212.13333333333333,-110.4575
6,212.16,-110.6594
7,212.18666666666667,-110.5483
8,212.21333333333334,-110.5284
9,212.24,-110.7835
10,212.26666666666668,-110.7881
11,212.29333333333332,-110.5057
12,212.32,-110.9247
13,212.34666666666666,-110.6397
14,212.37333333333333,-110.6744
15,212.4,-109.6419
16,212.42666666666668,-110.048
17,212.45333333333335,-110.0172
18,212.48,-110.457
19,212.50666666666666,-110.2421
20,212.53333333333333,-109.9248
21,212.56,-110.135
22,212.58666666666667,-110.3114
23,212.61333333333334,-110.6114
24,212.64,-110.6456
25,212.66666666666666,-110.7821
26,212.69333333333333,-110.8724
27,212.72,-110.5154
28,212.74666666666667,-110.7782
29,212.77333333333334,-110.3332
30,212.8,-110.1903
31,212.82666666666665,-110.547
32,212.85333333333332,-110.0878
33,212.88,-110.7226
34,212.90666666666667,-110.0368
35,212.93333333333334,-110.2638
36,212.96,-110.1259
37,212.98666666666668,-111.2682
38,213.01333333333332,-110.5488
39,213.04,-110.4827
40,213.06666666666666,-110.223
41,213.09333333333333,-109.9601
42,213.12,-110.3327
43,213.14666666666668,-110.41
44,213.17333333333335,-110.234
45,213.2,-110.3118
46,213.22666666666666,-110.6518
47,213.25333333333333,-110.193
48,213.28,-110.1061
49,213.30666666666667,-110.0624
50,213.33333333333334,-110.1136
51,213.36,-110.0447
52,213.38666666666666,-109.697
53,213.41333333333333,-110.8913
54,213.44,-110.66
55,213.46666666666667,-110.4032
56,213.49333333333334,-110.9404
57,213.52,-110.3401
58,213.54666666666668,-110.6168
59,213.57333333333332,-110.2645
60,213.6,-110.4843
61,213.62666666666667,-111.0318
62,213.65333333333334,-110.4913
63,213.68,-110.3114
64,213.70666666666668,-110.5549
65,213.73333333333332,-110.7965
66,213.76,-110.6195
67,213.78666666666666,-110.5109
68,213.81333333333333,-110.2678
69,213.84,-110.4732
70,213.86666666666667,-110.3767
71,213.89333333333335,-110.3367
72,213.92,-110.158
73,213.94666666666666,-110.4259
74,213.97333333333333,-110.0579
75,214.0,-110.4324
76,214.02666666666667,-110.7505
77,214.05333333333334,-110.6699
78,214.08,-110.755
79,214.10666666666665,-110.397
80,214.13333333333333,-110.4382
81,214.16,-110.7274
82,214.18666666666667,-110.5896
83,214.21333333333334,-110.5204
84,214.24,-110.5614
85,214.26666666666668,-110.3038
86,214.29333333333332,-110.1565
87,214.32,-110.4647
88,214.34666666666666,-110.6953
89,214.37333333333333,-110.7431
90,214.4,-110.0412
91,214.42666666666668,-110.1989
92,214.45333333333335,-110.5112
93,214.48,-110.7461
94,214.50666666666666,-110.5566
95,214.53333333333333,-110.7387
96,214.56,-110.3017
97,214.58666666666667,-110.4287
98,214.61333333333334,-110.7381
99,214.64,-110.5584
100,214.66666666666666,-110.0507
101,214.69333333333333,-110.5498
102,214.72,-110.1437
103,214.74666666666667,-110.1086
104,214.77333333333334,-110.1202
105,214.8,-110.2068
106,214.82666666666665,-110.3025
107,214.85333333333332,-109.9538
108,214.88,-110.4819
109,214.90666666666667,-110.5022
110,214.93333333333334,-111.3552
111,214.96,-110.477
112,214.98666666666668,-110.1238
113,215.01333333333332,-109.9671
114,215.04,-110.4974
115,215.06666666666666,-110.1387
116,215.09333333333333,-110.308
117,215.12,-110.368
118,215.14666666666668,-110.8197
119,215.17333333333335,-110.8229
120,215.2,-109.5284
121,215.22666666666666,-110.6249
122,215.25333333333333,-109.7971
123,215.28,-110.7479
124,215.30666666666667,-110.4637
125,215.33333333333334,-109.8598
126,215.36,-110.307
127,215.38666666666666,-110.3712
128,215.41333333333333,-110.534
129,215.44,-110.4638
130,215.46666666666667,-110.2785
131,215.49333333333334,-111.3701
132,215.52,-110.5612
133,215.54666666666668,-110.3652
134,215.57333333333332,-110.3167
135,215.6,-110.1897
136,215.62666666666667,-110.4371
137,215.65333333333334,-110.3218
138,215.68,-110.4969
139,215.70666666666668,-110.8754
140,215.73333333333332,-110.3926
141,215.76,-110.4463
142,215.78666666666666,-110.3857
143,215.81333333333333,-110.7505
144,215.84,-110.4664
145,215.86666666666667,-110.4316
146,215.89333333333335,-110.2514
147,215.92,-110.1253
148,215.94666666666666,-110.0647
149,215.97333333333333,-110.6879
150,216.0,-110.6968
151,216.02666666666667,-110.0478
152,216.05333333333334,-110.4612
153,216.08,-110.5982
154,216.10666666666665,-110.2655
155,216.13333333333333,-110.1282
156,216.16,-109.7546
157,216.18666666666667,-110.1881
158,216.21333333333334,-110.2822
159,216.24,-110.6896
160,216.26666666666668,-110.5854
161,216.29333333333332,-110.0283
162,216.32,-110.3615
163,216.34666666666666,-110.1779
164,216.37333333333333,-110.1723
165,216.4,-110.6302
166,216.42666666666668,-110.4424
167,216.45333333333335,-110.1802
168,216.48,-110.4756
169,216.50666666666666,-110.8957
170,216.53333333333333,-110.4646
171,216.56,-110.53
172,216.58666666666667,-110.2954
173,216.61333333333334,-110.4407
174,216.64,-110.9543
175,216.66666666666666,-110.704
176,216.69333333333333,-108.0847
177,216.72,-109.9878
178,216.74666666666667,-109.5723
179,216.77333333333334,-110.3358
180,216.8,-110.6344
181,216.82666666666665,-110.84
182,216.85333333333332,-110.231
183,216.88,-110.5162
184,216.90666666666667,-110.428
185,216.93333333333334,-110.4619
186,216.96,-110.4121
187,216.98666666666668,-110.0611
188,217.01333333333332,-110.5641
189,217.04,-110.8179
190,217.06666666666666,-110.2559
191,217.09333333333333,-110.8631
192,217.12,-110.5377
193,217.14666666666668,-109.9601
194,217.17333333333335,-110.0643
