,freq,pow
0,212.0,-117.1576
1,212.02666666666667,-116.8617
2,212.05333333333334,-116.8746
3,212.08,-116.8448
4,212.10666666666665,-116.996
5,212.13333333333333,-116.8412
6,212.16,-116.6404
7,212.18666666666667,-116.9598
8,212.21333333333334,-117.0165
9,212.24,-116.9868
10,212.26666666666668,-117.6714
11,212.29333333333332,-116.68
12,212.32,-116.7764
13,212.34666666666666,-116.807
14,212.37333333333333,-116.6503
15,212.4,-116.4819
16,212.42666666666668,-116.5358
17,212.45333333333335,-116.6956
18,212.48,-116.5553
19,212.50666666666666,-117.1982
20,212.53333333333333,-117.049
21,212.56,-116.4913
22,212.58666666666667,-116.7702
23,212.61333333333334,-116.6765
24,212.64,-116.9993
25,212.66666666666666,-116.4744
26,212.69333333333333,-116.6242
27,212.72,-116.3714
28,212.74666666666667,-116.9304
29,212.77333333333334,-116.7796
30,212.8,-116.8173
31,212.82666666666665,-117.197
32,212.85333333333332,-117.2148
33,212.88,-116.8801
34,212.90666666666667,-117.0093
35,212.93333333333334,-116.6857
36,212.96,-116.6348
37,212.98666666666668,-116.5314
38,213.01333333333332,-116.7198
39,213.04,-116.7505
40,213.06666666666666,-117.4138
41,213.09333333333333,-116.9876
42,213.12,-116.428
43,213.14666666666668,-116.8848
44,213.17333333333335,-116.6935
45,213.2,-116.6289
46,213.22666666666666,-116.7922
47,213.25333333333333,-116.709
48,213.28,-116.6503
49,213.30666666666667,-116.328
50,213.33333333333334,-116.6623
51,213.36,-117.1461
52,213.38666666666666,-116.6992
53,213.41333333333333,-116.7273
54,213.44,-116.5793
55,213.46666666666667,-116.8918
56,213.49333333333334,-116.8699
57,213.52,-116.9143
58,213.54666666666668,-116.5347
59,213.57333333333332,-116.6679
60,213.6,-116.5091
61,213.62666666666667,-117.2345
62,213.65333333333334,-116.8857
63,213.68,-116.8193
64,213.70666666666668,-116.9863
65,213.73333333333332,-116.6423
66,213.76,-117.3141
67,213.78666666666666,-116.6311
68,213.81333333333333,-116.7052
69,213.84,-116.825
70,213.86666666666667,-116.9753
71,213.89333333333335,-116.7905
72,213.92,-116.5295
73,213.94666666666666,-116.8113
74,213.97333333333333,-116.2909
75,214.0,-116.5446
76,214.02666666666667,-116.9576
77,214.05333333333334,-116.9058
78,214.08,-116.5125
79,214.10666666666665,-116.7243
80,214.13333333333333,-117.1726
81,214.16,-116.6278
82,214.18666666666667,-116.7322
83,214.21333333333334,-116.9141
84,214.24,-117.1464
85,214.26666666666668,-116.8083
86,214.29333333333332,-116.9395
87,214.32,-117.2136
88,214.34666666666666,-117.0274
89,214.37333333333333,-116.7069
90,214.4,-116.7049
91,214.42666666666668,-116.7885
92,214.45333333333335,-117.3624
93,214.48,-116.9569
94,214.50666666666666,-117.0107
95,214.53333333333333,-116.349
96,214.56,-116.6558
97,214.58666666666667,-116.7813
98,214.61333333333334,-116.7214
99,214.64,-116.791
100,214.66666666666666,-117.4538
101,214.69333333333333,-116.7938
102,214.72,-116.8763
103,214.74666666666667,-116.4549
104,214.77333333333334,-116.7877
105,214.8,-116.4406
106,214.82666666666665,-117.0344
107,214.85333333333332,-116.8608
108,214.88,-116.5047
