,freq,pow
0,187.5,-79.26973
1,187.50666666666666,-82.63398
2,187.51333333333332,-84.11348
3,187.52,-76.54023
4,187.52666666666667,-79.88008
5,187.53333333333333,-79.33809
6,187.54,-75.93477
7,187.54666666666665,-82.30684
8,187.55333333333334,-77.67793
9,187.56,-77.42402
10,187.56666666666666,-79.86543
11,187.57333333333332,-78.67402
12,187.58,-77.03828
13,187.58666666666667,-73.99141
14,187.59333333333333,-77.40449
15,187.6,-80.63691
16,187.60666666666665,-79.11348
17,187.61333333333334,-80.05586
18,187.62,-80.6418
19,187.62666666666667,-82.18965
20,187.63333333333333,-80.8957
21,187.64,-80.67598
22,187.64666666666668,-81.61836
23,187.65333333333334,-77.92207
24,187.66,-80.09492
25,187.66666666666666,-81.40352
26,187.67333333333335,-80.63691
27,187.68,-78.02949
28,187.68666666666667,-83.49336
29,187.69333333333333,-76.77461
30,187.7,-78.63496
31,187.70666666666668,-82.79512
32,187.71333333333334,-81.50605
33,187.72,-81.99922
34,187.72666666666666,-79.85566
35,187.73333333333332,-81.09102
36,187.74,-79.8752
37,187.74666666666667,-80.39766
38,187.75333333333333,-78.42988
39,187.76,-80.95918
40,187.76666666666668,-77.53633
41,187.77333333333334,-77.98066
42,187.78,-80.89082
43,187.78666666666666,-78.71309
44,187.79333333333332,-81.41328
45,187.8,-82.00898
46,187.80666666666667,-80.6418
47,187.81333333333333,-81.26191
48,187.82,-79.25508
49,187.82666666666665,-80.90547
50,187.83333333333334,-78.67402
51,187.84,-80.71504
52,187.84666666666666,-79.83613
53,187.85333333333332,-80.28047
54,187.86,-78.21992
55,187.86666666666667,-78.36152
56,187.87333333333333,-75.71016
57,187.88,-78.15645
58,187.88666666666666,-77.91719
59,187.89333333333335,-77.71211
60,187.9,-81.09102
61,187.90666666666667,-78.5373
62,187.91333333333333,-77.4582
63,187.92,-83.73262
64,187.92666666666668,-79.31855
65,187.93333333333334,-77.74141
66,187.94,-81.10078
67,187.94666666666666,-81.33027
68,187.95333333333335,-76.29121
69,187.96,-76.55977
70,187.96666666666667,-78.85469
71,187.97333333333333,-76.98945
72,187.98,-77.09687
73,187.98666666666668,-76.0959
74,187.99333333333334,-78.95723
75,188.0,-80.66133
76,188.00666666666666,-79.57734
77,188.01333333333332,-79.29902
78,188.02,-79.67012
79,188.02666666666667,-75.22187
80,188.03333333333333,-79.30879
81,188.04,-79.13301
82,188.04666666666665,-80.53926
83,188.05333333333334,-77.87812
84,188.06,-74.62617
85,188.06666666666666,-78.79121
86,188.07333333333332,-79.46992
87,188.08,-76.85762
88,188.08666666666667,-77.86348
89,188.09333333333333,-77.84395
90,188.1,-76.99434
91,188.10666666666665,-74.77754
92,188.11333333333334,-78.39082
93,188.12,-80.96406
94,188.12666666666667,-78.21992
95,188.13333333333333,-81.65742
96,188.14,-78.72285
97,188.14666666666668,-78.63496
98,188.15333333333334,-79.99238
99,188.16,-80.5832
100,188.16666666666666,-79.02559
101,188.17333333333335,-77.89277
102,188.18,-79.75312
103,188.18666666666667,-78.36641
104,188.19333333333333,-78.84004
105,188.2,-80.8957
106,188.20666666666668,-76.82832
107,188.21333333333334,-75.75898
108,188.22,-78.49824
109,188.22666666666666,-78.83027
110,188.23333333333332,-77.10176
111,188.24,-77.62422
112,188.24666666666667,-78.97187
113,188.25333333333333,-76.94062
114,188.26,-76.76484
115,188.26666666666668,-75.68086
116,188.27333333333334,-79.47969
117,188.28,-79.29414
118,188.28666666666666,-76.28633
119,188.29333333333332,-81.82344
120,188.3,-77.25801
121,188.30666666666667,-80.96406
122,188.31333333333333,-79.88008
123,188.32,-75.00215
124,188.32666666666665,-76.08613
125,188.33333333333334,-78.67891
126,188.34,-75.99824
127,188.34666666666666,-77.89277
128,188.35333333333332,-80.27559
129,188.36,-75.68086
130,188.36666666666667,-76.06172
131,188.37333333333333,-77.99531
132,188.38,-78.75215
133,188.38666666666666,-81.10566
134,188.39333333333335,-74.2502
135,188.4,-73.34687
136,188.40666666666667,-76.82344
137,188.41333333333333,-78.69844
138,188.42,-77.2873
139,188.42666666666668,-77.97578
140,188.43333333333334,-74.71406
141,188.44,-79.01582
142,188.44666666666666,-75.42695
143,188.45333333333335,-77.72676
144,188.46,-77.55586
145,188.46666666666667,-75.63203
146,188.47333333333333,-79.67012
147,188.48,-79.32344
148,188.48666666666668,-74.20625
149,188.49333333333334,-75.76875
150,188.5,-75.95918
151,188.50666666666666,-77.81953
152,188.51333333333332,-74.82148
153,188.52,-78.74727
154,188.52666666666667,-75.78828
155,188.53333333333333,-74.57734
156,188.54,-74.30391
157,188.54666666666665,-73.36152
158,188.55333333333334,-76.13496
159,188.56,-75.31953
160,188.56666666666666,-72.9123
161,188.57333333333332,-74.59687
162,188.58,-77.8293
163,188.58666666666667,-77.24336
164,188.59333333333333,-73.85469
165,188.6,-75.61738
166,188.60666666666665,-74.54805
167,188.61333333333334,-77.40449
168,188.62,-73.38594
169,188.62666666666667,-77.66328
170,188.63333333333333,-74.55781
171,188.64,-75.93965
172,188.64666666666668,-77.16523
173,188.65333333333334,-76.91621
174,188.66,-74.09883
175,188.66666666666666,-74.76777
176,188.67333333333335,-72.76094
177,188.68,-74.88496
178,188.68666666666667,-79.40645
179,188.69333333333333,-72.86836
180,188.7,-79.34785
181,188.70666666666668,-77.67305
182,188.71333333333334,-72.50703
183,188.72,-75.73945
184,188.72666666666666,-72.175
185,188.73333333333332,-72.74629
186,188.74,-76.01289
187,188.74666666666667,-75.37324
188,188.75333333333333,-76.75508
189,188.76,-75.50996
190,188.76666666666668,-75.51484
191,188.77333333333334,-75.62715
192,188.78,-73.82051
193,188.78666666666666,-76.08613
194,188.79333333333332,-73.50312
195,188.8,-78.66426
196,188.80666666666667,-75.55391
197,188.81333333333333,-72.05293
198,188.82,-75.24629
199,188.82666666666665,-73.21016
200,188.83333333333334,-72.78047
201,188.84,-75.13398
202,188.84666666666666,-73.12715
203,188.85333333333332,-75.08027
204,188.86,-76.47676
205,188.86666666666667,-74.21113
206,188.87333333333333,-75.09492
207,188.88,-74.21113
208,188.88666666666666,-76.73066
209,188.89333333333335,-72.89277
210,188.9,-73.40547
211,188.90666666666667,-78.20527
212,188.91333333333333,-80.02168
213,188.92,-69.8166
214,188.92666666666668,-72.04805
